class,baseline,horizon,spearman_rho,p_value
burgers,persistence,96,,
burgers,persistence,192,,
burgers,persistence,336,,
burgers,tail_linear,96,,
burgers,tail_linear,192,,
burgers,tail_linear,336,,
burgers,full_context_linear,96,0.9999999999999999,1.4042654220543608e-24
burgers,full_context_linear,192,0.9999999999999999,1.4042654220543608e-24
burgers,full_context_linear,336,0.9999999999999999,1.4042654220543608e-24
burgers,context_mean,96,0.9999999999999999,1.4042654220543608e-24
burgers,context_mean,192,0.9999999999999999,1.4042654220543608e-24
burgers,context_mean,336,0.9999999999999999,1.4042654220543608e-24
burgers,ar5_ridge,96,0.0,1.0
burgers,ar5_ridge,192,0.0,1.0
burgers,ar5_ridge,336,0.0,1.0
lorenz,persistence,96,,
lorenz,persistence,192,,
lorenz,persistence,336,,
lorenz,tail_linear,96,,
lorenz,tail_linear,192,,
lorenz,tail_linear,336,,
lorenz,full_context_linear,96,-0.8999999999999998,0.03738607346849875
lorenz,full_context_linear,192,-0.9999999999999999,1.4042654220543608e-24
lorenz,full_context_linear,336,-0.9999999999999999,1.4042654220543608e-24
lorenz,context_mean,96,0.09999999999999999,0.8728885715695384
lorenz,context_mean,192,-0.6,0.28475697986529386
lorenz,context_mean,336,-0.8999999999999998,0.03738607346849875
lorenz,ar5_ridge,96,-0.6,0.28475697986529386
lorenz,ar5_ridge,192,-0.3,0.623837664781073
lorenz,ar5_ridge,336,-0.6,0.28475697986529386
