class,model,horizon,vanilla_mae_median,shuffled_mae_median,degradation_median,degradation_iqr,wilcoxon_p_shuffle_worse
lorenz,baseline_100k,96,4.135130348554676,8.541684923973559,4.5931278535585065,1.8469392694889155,9.5367431640625e-07
lorenz,baseline_100k,192,5.413434288584348,8.478283927682504,3.1171706659228757,2.671052832019501,8.392333984375e-05
lorenz,baseline_100k,336,7.339356434248861,8.344004801557698,1.2660198538390688,2.0134945234679433,0.0015764236450195312
lorenz,ablation_100k,96,3.0579079314197566,8.118012848346249,4.855120513044719,4.272152357239141,0.0001049041748046875
lorenz,ablation_100k,192,5.7797446364355824,8.276661656176277,2.357725658214301,1.6528149606308362,0.0021104812622070312
lorenz,ablation_100k,336,6.589344008392995,8.773704291124819,1.733955427528802,2.065501076536667,6.67572021484375e-06
rossler,baseline_100k,96,1.1408507096110676,3.561193295713431,2.3516620212929142,1.183175038902526,1.9073486328125e-06
rossler,baseline_100k,192,1.6256528611677288,3.8398200165014824,2.1754734223880656,1.028079384429966,1.9073486328125e-06
rossler,baseline_100k,336,2.218441922528857,3.938317603333774,1.6212335265991324,0.9467896342066968,2.86102294921875e-06
rossler,ablation_100k,96,0.9965526694007163,3.9002323407068817,2.9028541889729302,1.1510239289226134,9.5367431640625e-07
rossler,ablation_100k,192,1.3472358551437225,4.254622434653942,2.811959316217176,1.0274587209824078,1.9073486328125e-06
rossler,ablation_100k,336,1.80468601325751,4.014037551304253,2.1994139378653483,1.1698568043947541,6.67572021484375e-06
sprottb,baseline_100k,96,0.5787752536883848,1.102156781540828,0.3826840365300139,0.5302065835086172,1.33514404296875e-05
sprottb,baseline_100k,192,0.8402247351347796,1.0404501238313815,0.23919441753829374,0.38076587378506344,0.002429962158203125
sprottb,baseline_100k,336,0.9938974282402857,1.1065007502500865,0.0987536671101496,0.19053829127415042,0.0008449554443359375
sprottb,ablation_100k,96,0.5082663103594867,1.2487362593376434,0.6983230080141833,0.423083362569116,9.5367431640625e-07
sprottb,ablation_100k,192,0.6467481538044044,1.1646794224873616,0.3925928935619474,0.4128697882476604,1.9073486328125e-06
sprottb,ablation_100k,336,0.8348563091961814,1.2126035493031986,0.23381062244169926,0.2427132799859724,9.5367431640625e-06
burgers,baseline_100k,96,0.001671329839155078,0.0029807030223309994,0.0013379747979342937,0.0010809771192725748,9.5367431640625e-07
burgers,baseline_100k,192,0.0023432550951838493,0.0035483294632285833,0.0013693899381905794,0.0010794159898068756,2.86102294921875e-06
burgers,baseline_100k,336,0.0026151705533266068,0.004359288606792688,0.001711039338260889,0.0018550530658103526,2.384185791015625e-05
burgers,ablation_100k,96,0.0011244046036154032,0.003136797808110714,0.002297415165230632,0.00207777859759517,9.5367431640625e-07
burgers,ablation_100k,192,0.001651025377213955,0.00337578565813601,0.0019548404961824417,0.0013386288192123175,9.5367431640625e-07
burgers,ablation_100k,336,0.001972130499780178,0.003411631565541029,0.002019741805270314,0.0015003633743617684,9.5367431640625e-07
harmonic,baseline_100k,96,0.8328242301940918,2.6320905685424805,1.7980619668960571,1.4651539027690887,9.5367431640625e-07
harmonic,baseline_100k,192,1.2513806819915771,3.133175849914551,1.5587377548217773,1.347186639904976,9.5367431640625e-07
harmonic,baseline_100k,336,1.569087028503418,3.4774672985076904,1.4306105375289917,1.261895015835762,9.5367431640625e-07
harmonic,ablation_100k,96,0.3920999765396118,2.89111328125,2.4852895736694336,1.511064887046814,9.5367431640625e-07
harmonic,ablation_100k,192,0.8123737573623657,3.0801596641540527,2.0301196575164795,1.1954155266284943,9.5367431640625e-07
harmonic,ablation_100k,336,1.165657639503479,3.4980711936950684,2.017418622970581,0.9840136766433716,9.5367431640625e-07
