class,model,horizon,context_len,panda_mae_median
lorenz,baseline_100k,96,512,4.135130348554676
lorenz,baseline_100k,96,256,4.9792463896602035
lorenz,baseline_100k,96,128,7.558079691149873
lorenz,baseline_100k,96,64,7.164834053604308
lorenz,baseline_100k,96,32,6.768674718047141
lorenz,baseline_100k,192,512,5.413434288584348
lorenz,baseline_100k,192,256,6.3881770464188605
lorenz,baseline_100k,192,128,7.409820261567807
lorenz,baseline_100k,192,64,8.633640537041853
lorenz,baseline_100k,192,32,8.019431197066869
lorenz,baseline_100k,336,512,7.339356434248861
lorenz,baseline_100k,336,256,7.093432643897849
lorenz,baseline_100k,336,128,7.930450461143392
lorenz,baseline_100k,336,64,10.254949759427571
lorenz,baseline_100k,336,32,8.744450501190435
lorenz,ablation_100k,96,512,3.0579079314197566
lorenz,ablation_100k,96,256,4.6073589648010405
lorenz,ablation_100k,96,128,7.420654743557057
lorenz,ablation_100k,96,64,8.077042120989924
lorenz,ablation_100k,96,32,6.147720187773742
lorenz,ablation_100k,192,512,5.7797446364355824
lorenz,ablation_100k,192,256,6.385357384250445
lorenz,ablation_100k,192,128,7.512481784872698
lorenz,ablation_100k,192,64,8.461740538226515
lorenz,ablation_100k,192,32,8.213533322717558
lorenz,ablation_100k,336,512,6.589344008392995
lorenz,ablation_100k,336,256,7.571353372630631
lorenz,ablation_100k,336,128,8.685669472223832
lorenz,ablation_100k,336,64,8.926741052336885
lorenz,ablation_100k,336,32,9.081313118800772
rossler,baseline_100k,96,512,1.1408507096110676
rossler,baseline_100k,96,256,1.7402880424185971
rossler,baseline_100k,96,128,2.7906383076310215
rossler,baseline_100k,96,64,3.353792570044178
rossler,baseline_100k,96,32,4.291815786378254
rossler,baseline_100k,192,512,1.6256528611677288
rossler,baseline_100k,192,256,2.542094934914524
rossler,baseline_100k,192,128,3.2545199583710938
rossler,baseline_100k,192,64,3.5700231580390174
rossler,baseline_100k,192,32,4.5541201754177685
rossler,baseline_100k,336,512,2.218441922528857
rossler,baseline_100k,336,256,3.0041457017822997
rossler,baseline_100k,336,128,3.859393515347284
rossler,baseline_100k,336,64,3.7572023711409686
rossler,baseline_100k,336,32,4.152811707147648
rossler,ablation_100k,96,512,0.9965526694007163
rossler,ablation_100k,96,256,1.839137182110453
rossler,ablation_100k,96,128,2.731504652609458
rossler,ablation_100k,96,64,4.109944727336753
rossler,ablation_100k,96,32,4.614179807624689
rossler,ablation_100k,192,512,1.3472358551437225
rossler,ablation_100k,192,256,2.5346129778833486
rossler,ablation_100k,192,128,3.487374829893861
rossler,ablation_100k,192,64,4.18153718076484
rossler,ablation_100k,192,32,4.574295910341044
rossler,ablation_100k,336,512,1.80468601325751
rossler,ablation_100k,336,256,2.8148222349612566
rossler,ablation_100k,336,128,3.9680443660008935
