class,model,layer,attn_entropy,effective_receptive_field_frac
lorenz,baseline_100k,0,1.6573129,0.42900544715424377
lorenz,baseline_100k,1,2.0071094,0.4748645933965842
lorenz,baseline_100k,2,1.7243094,0.5478870440274477
lorenz,baseline_100k,3,2.1653023,0.44853349899252254
lorenz,baseline_100k,4,2.5438643,0.3531792952368657
lorenz,baseline_100k,5,1.8700832,0.4621218455334504
lorenz,baseline_100k,6,2.522572,0.31669997703284025
lorenz,baseline_100k,7,2.0384028,0.3819227274507284
lorenz,ablation_100k,0,1.8842224,0.6256677409013113
lorenz,ablation_100k,1,1.7856569,0.3666417673230171
lorenz,ablation_100k,2,1.9824214,0.5484181797752777
lorenz,ablation_100k,3,2.1207492,0.4157596838970979
lorenz,ablation_100k,4,2.26985,0.4517442310849826
lorenz,ablation_100k,5,2.3125286,0.4151043687015772
lorenz,ablation_100k,6,2.4555244,0.37502793905635673
lorenz,ablation_100k,7,2.1695883,0.3666906688983242
rossler,baseline_100k,0,1.4912349,0.38676600872228545
rossler,baseline_100k,1,2.0175989,0.39960796137650806
rossler,baseline_100k,2,2.038205,0.4268359076231718
rossler,baseline_100k,3,2.2221277,0.36100858449935913
rossler,baseline_100k,4,2.2220936,0.2977039748802781
rossler,baseline_100k,5,2.0349321,0.38990009545038146
rossler,baseline_100k,6,2.3348935,0.3190823818246524
rossler,baseline_100k,7,1.919766,0.3438471651946505
rossler,ablation_100k,0,2.1969662,0.5955216201643149
rossler,ablation_100k,1,1.937102,0.2435294957831502
rossler,ablation_100k,2,2.6208227,0.35364399043222267
rossler,ablation_100k,3,2.3726895,0.3305206000804901
rossler,ablation_100k,4,2.585223,0.33307034832735855
rossler,ablation_100k,5,2.5899365,0.3555585794771711
rossler,ablation_100k,6,2.4912255,0.3674843559662501
rossler,ablation_100k,7,1.9522653,0.3339787631606062
sprottb,baseline_100k,0,1.5571375,0.37893446317563456
sprottb,baseline_100k,1,1.8397804,0.39460831011335057
sprottb,baseline_100k,2,2.1556842,0.39507603583236534
sprottb,baseline_100k,3,2.4375837,0.355573254947861
sprottb,baseline_100k,4,2.4069128,0.36318981771667797
sprottb,baseline_100k,5,2.3148925,0.4026186391711235
sprottb,baseline_100k,6,2.6550057,0.32825568194190663
sprottb,baseline_100k,7,2.2578967,0.35226319916546345
sprottb,ablation_100k,0,2.306606,0.5401426367461681
sprottb,ablation_100k,1,2.0325506,0.2857277151197195
sprottb,ablation_100k,2,2.4607265,0.3661546030392249
sprottb,ablation_100k,3,2.369536,0.34432824328541756
sprottb,ablation_100k,4,2.4700308,0.37381186429411173
sprottb,ablation_100k,5,2.671044,0.3341102944687009
sprottb,ablation_100k,6,2.73164,0.33514249697327614
sprottb,ablation_100k,7,2.4510243,0.3069802933993439
burgers,baseline_100k,0,2.320489,0.1469469526782632
burgers,baseline_100k,1,2.6510966,0.17790468828752637
burgers,baseline_100k,2,2.6167626,0.3150242450647056
burgers,baseline_100k,3,2.3626738,0.29975975677371025
burgers,baseline_100k,4,2.7907748,0.2766624758951366
burgers,baseline_100k,5,2.217898,0.45292166993021965
burgers,baseline_100k,6,2.955604,0.3442364074289799
burgers,baseline_100k,7,2.5268173,0.3640550684649497
burgers,ablation_100k,0,3.2388601,0.3628181256353855
burgers,ablation_100k,1,3.157133,0.28932255785912275
burgers,ablation_100k,2,3.2859027,0.3462509219534695
burgers,ablation_100k,3,3.2374418,0.28628011839464307
burgers,ablation_100k,4,3.1655273,0.33028433471918106
burgers,ablation_100k,5,3.1896214,0.31651267735287547
burgers,ablation_100k,6,2.8124652,0.4303418044000864
burgers,ablation_100k,7,2.6371324,0.31015312019735575
harmonic,baseline_100k,0,1.4111992,0.40353156020864844
harmonic,baseline_100k,1,1.740772,0.4391333917155862
harmonic,baseline_100k,2,1.7783062,0.48232978908345103
harmonic,baseline_100k,3,2.233653,0.3737206836231053
harmonic,baseline_100k,4,2.2313435,0.3310856316238642
harmonic,baseline_100k,5,2.013558,0.44156994577497244
harmonic,baseline_100k,6,2.5565767,0.2877561701461673
harmonic,baseline_100k,7,2.1124456,0.36824892880395055
harmonic,ablation_100k,0,2.1716604,0.6165141081437469
harmonic,ablation_100k,1,1.867383,0.28738641180098057
harmonic,ablation_100k,2,2.2737854,0.35929437074810266
harmonic,ablation_100k,3,2.1962833,0.30795109388418496
harmonic,ablation_100k,4,2.2988098,0.3669687481597066
harmonic,ablation_100k,5,2.4891357,0.4069916191510856
harmonic,ablation_100k,6,2.5791337,0.361252011731267
harmonic,ablation_100k,7,2.2245235,0.32475154288113117
