channel,struct_top1_over_floor,panda_mae,chronos_mae,advantage
p,1.32,0.66598060131073,0.6119023580104113,-0.05407824330031874
T,1.95,0.7521985791623592,0.9901613861322403,0.23796280696988104
Tpot,2.15,0.7913334399461747,1.1753081202507019,0.3839746803045272
Tdew,2.03,0.7413417555391788,0.6339107409119606,-0.10743101462721816
rh,3.36,0.5687863945960998,0.9785213530063629,0.4097349584102631
VPmax,1.94,0.7396506637334823,0.9725551351904869,0.23290447145700455
VPact,2.37,0.7117863856256008,0.8321266956627369,0.12034031003713608
VPdef,2.69,0.6194782860577106,0.9964795760810375,0.37700129002332694
sh,2.42,0.7076865300536156,0.5688295006752014,-0.13885702937841415
H2OC,2.59,0.7074447862803936,0.9651878073811531,0.2577430211007594
rho,1.46,0.6837993651628494,0.8986380189657212,0.2148386538028717
wv,0.98,0.8648865163326264,0.8517290815711022,-0.0131574347615242
max.wv,0.72,0.8271566852927208,0.9232354179024697,0.09607873260974886
wd,1.49,0.7282582283020019,0.739070774614811,0.010812546312809035
rain,0.45,0.3519433772922639,0.2693471454680548,-0.08259623182420905
raining,0.98,0.34407749165075074,0.411164450004253,0.06708695835350226
SWDR,0.73,0.5712219081819058,0.8552964523434639,0.2840745441615581
PAR,0.59,0.5601259037852288,0.9900796167552471,0.4299537129700184
max.PAR,0.39,0.5981674037873745,0.8136596020311118,0.21549219824373722
Tlog,1.98,0.7334138952195645,0.945233004912734,0.21181910969316953
OT,1.05,0.678101158887148,0.8805766105651855,0.2024754516780376
