label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,arm,panda_multi_mae,panda_multi_iqr,panda_uni_mae,panda_uni_iqr
arm0_full_H96,96,panda,chronos,0.6386149227619171,0.19822415709495544,0.7920286655426025,0.13941079378128052,0.15341374278068542,0.0008449554443359375,arm0_full,,,,
homo_matched_multi_vs_chronos_H96,96,panda_multi,chronos,,,0.836844265460968,0.22113874554634094,0.2956058084964752,0.0008449554443359375,homo_matched,0.5412384569644928,0.33058304339647293,,
homo_matched_uni_vs_chronos_H96,96,panda_uni,chronos,,,0.9296329915523529,0.24249498546123505,0.31461605429649353,0.00029277801513671875,homo_matched,,,0.6150169372558594,0.16472825407981873
homo_matched_uni_vs_multi_H96,96,panda_uni,panda_multi,,,,,-0.07377848029136658,0.762547492980957,homo_matched,0.5412384569644928,0.33058304339647293,0.6150169372558594,0.16472825407981873
hetero_controlled_multi_vs_chronos_H96,96,panda_multi,chronos,,,0.8978514969348907,0.29503244161605835,0.33421590924263,4.100799560546875e-05,hetero_controlled,0.5636355876922607,0.18717844039201736,,
hetero_controlled_uni_vs_chronos_H96,96,panda_uni,chronos,,,0.7630314230918884,0.3946114778518677,0.14183372259140015,0.0006046295166015625,hetero_controlled,,,0.6211977005004883,0.24925294518470764
hetero_controlled_uni_vs_multi_H96,96,panda_uni,panda_multi,,,,,-0.05756211280822754,0.9231767654418945,hetero_controlled,0.5636355876922607,0.18717844039201736,0.6211977005004883,0.24925294518470764
homo_low_multi_vs_chronos_H96,96,panda_multi,chronos,,,0.868850588798523,0.2743891775608063,0.25876420736312866,3.147125244140625e-05,homo_low,0.6100863814353943,0.2830112874507904,,
homo_low_uni_vs_chronos_H96,96,panda_uni,chronos,,,0.7912111580371857,0.28347083926200867,0.18084868788719177,0.00016117095947265625,homo_low,,,0.6103624701499939,0.33941854536533356
homo_low_uni_vs_multi_H96,96,panda_uni,panda_multi,,,,,-0.0002760887145996094,0.3780832290649414,homo_low,0.6100863814353943,0.2830112874507904,0.6103624701499939,0.33941854536533356
