system,horizon,pe,advantage,source
Weather,96,0.7559607038147702,0.174,Exp8
Weather,192,0.7559607038147702,0.236,Exp8
Weather,336,0.7559607038147702,0.236,Exp8
ETTh1,96,0.9543601745899811,-0.064,Exp8
ETTh1,192,0.9543601745899811,-0.036,Exp8
ETTh1,336,0.9543601745899811,0.044,Exp8
ETTh1,720,0.9543601745899811,0.027,Exp8
ETTh2,96,0.8662718498604862,0.076,Exp8
ETTh2,192,0.8662718498604862,-0.019,Exp8
ETTh2,336,0.8662718498604862,0.185,Exp8
ETTh2,720,0.8662718498604862,-0.011,Exp8
Lorenz_rho10,96,0.4935567710596211,0.0,Exp3
Lorenz_rho20,96,0.46570872766898735,0.22,Exp3
Lorenz_rho24,96,0.47011773299918586,0.34,Exp3
Lorenz_rho28,96,0.4599454409275546,0.64,Exp3
Lorenz_rho60,96,0.47339396939276635,0.69,Exp3
Burgers_nu2.0,128,0.023724584290311136,0.004,Exp10
Burgers_nu1.0,128,0.039343097196829366,0.038,Exp10
Burgers_nu0.5,128,0.06214114762253813,0.062,Exp10
Burgers_nu0.1,128,0.13189113136388375,0.111,Exp10
Burgers_nu0.05,128,0.07136406291340522,0.149,Exp10
Burgers_nu0.01,128,0.06878173734448485,0.095,Exp10
Burgers_nu0.005,128,0.053527904644085515,0.122,Exp10
