label,horizon,dataset,panda_mae,panda_mae_iqr,chronos_mae,chronos_mae_iqr,advantage_mae,wilcoxon_p
ETTh1_H96,96,ETTh1,0.7269,0.2203,0.6633,0.2388,-0.0636,0.844
ETTh1_H192,192,ETTh1,0.8185,0.3046,0.7825,0.2742,-0.036,0.826
ETTh1_H336,336,ETTh1,0.8571,0.1971,0.9013,0.1859,0.0441,0.649
ETTh1_H720,720,ETTh1,0.9921,0.3226,1.0189,0.3845,0.0267,0.774
ETTh2_H96,96,ETTh2,0.8736,0.479,0.9494,0.5583,0.0758,0.478
ETTh2_H192,192,ETTh2,0.9697,0.538,0.9505,0.573,-0.0191,0.147
ETTh2_H336,336,ETTh2,0.9255,0.386,1.1101,0.3831,0.1845,0.013
ETTh2_H720,720,ETTh2,1.1139,0.2194,1.1027,0.3862,-0.0112,0.392
Weather_H96,96,Weather,0.6378,0.1723,0.8115,0.2036,0.1737,0.0
Weather_H192,192,Weather,0.7224,0.2385,0.9582,0.2089,0.2358,0.001
Weather_H336,336,Weather,0.8481,0.2898,1.0843,0.3507,0.2362,0.0
