system,h,fraction_of_horizon,gate_status_at_h,d_ground_truth,d_panda_published,d_chronos,err_panda_published,err_chronos,d_baseline_100k,err_baseline_100k,d_ablation_100k,err_ablation_100k
double_pendulum,128,0.381,False,2.2619569536721773,2.2056221288467417,2.196291144710766,0.056334824825435614,0.06566580896141128,,,,
double_pendulum,256,0.762,False,2.4961732263361704,2.1025935847361574,1.9181407775646997,0.393579641600013,0.5780324487714708,,,,
double_pendulum,336,1.0,False,2.3783131498508707,1.814798629092078,1.870067385508607,0.5635145207587928,0.5082457643422638,,,,
lorenz_rho10,128,0.381,False,2.2303340144224326,2.187595283011135,2.4148139540701488,0.04273873141129769,0.18447993964771614,,,,
lorenz_rho10,256,0.762,False,1.8557447095771455,2.471803520634893,1.6663760002407206,0.6160588110577474,0.1893687093364249,,,,
lorenz_rho10,336,1.0,False,1.934964663694503,1.8975582516684657,1.5987773465401072,0.03740641202603734,0.33618731715439587,,,,
rossler,128,0.381,False,1.9334007169330667,,1.963116692965395,,0.02971597603232823,,,2.2178928909713473,0.28449217403828064
rossler,256,0.762,False,2.02911174467377,,1.8714972031598704,,0.15761454151389964,1.9942758948685033,0.03483584980526677,1.7309809690985538,0.2981307755752163
rossler,336,1.0,False,2.6707079642830305,,2.8885679145101233,,0.2178599502270928,1.7481389254407127,0.9225690388423178,1.8517740986683768,0.8189338656146536
burgers_nu1p0,128,0.381,False,1.4213320118070691,,2.6866168026170634,,1.2652847908099942,1.7317814248465646,0.31044941303949547,2.672823851708195,1.2514918399011257
burgers_nu1p0,256,0.762,False,1.051830221862386,,1.1828196188231261,,0.13098939696074008,1.3859358916953337,0.33410566983294765,1.3322154572929887,0.2803852354306027
burgers_nu1p0,336,1.0,False,0.9290815280736758,,1.0624038283133783,,0.13332230023970248,1.270713488110321,0.3416319600366452,1.406153781394062,0.4770722533203863
harmonic,128,0.381,False,2.0880685571413284,,1.9876059056520643,,0.10046265148926414,2.2171764431673213,0.12910788602599288,2.0637167561789536,0.02435180096237488
harmonic,256,0.762,False,1.3916104548768005,,1.6354905185610358,,0.24388006368423532,1.4250647361401305,0.033454281263330055,1.9144658845507911,0.5228554296739907
harmonic,336,1.0,False,1.2222260752265561,,1.2563198742133443,,0.034093798986788215,1.5990921371856817,0.37686606195912553,1.8861198124108158,0.6638937371842597
