label,horizon,name_a,name_b,published_mae,published_iqr,advantage_mae,wilcoxon_p,dataset,model_tag,retrained_base_mae,retrained_base_iqr,koopman_ablation_mae,koopman_ablation_iqr
VanderPol_published_H96,96,published,published,0.03677917644381523,0.007867160253226757,0.0,1.0,VanderPol,published,,,,
VanderPol_retrained_base_H96,96,retrained_base,published,0.03677917644381523,0.007867160253226757,-0.061454035341739655,1.0,VanderPol,retrained_base,0.09823321178555489,0.010516263544559479,,
VanderPol_koopman_ablation_H96,96,koopman_ablation,published,0.03677917644381523,0.007867160253226757,-0.06955890730023384,1.0,VanderPol,koopman_ablation,,,0.10633808374404907,0.02391808293759823
VanderPol_published_H192,192,published,published,0.051110899075865746,0.04306664038449526,0.0,1.0,VanderPol,published,,,,
VanderPol_retrained_base_H192,192,retrained_base,published,0.051110899075865746,0.04306664038449526,-0.1449600700289011,1.0,VanderPol,retrained_base,0.19607096910476685,0.05087055265903473,,
VanderPol_koopman_ablation_H192,192,koopman_ablation,published,0.051110899075865746,0.04306664038449526,-0.12015718407928944,0.9999980926513672,VanderPol,koopman_ablation,,,0.17126808315515518,0.043094754219055176
VanderPol_published_H336,336,published,published,0.07691595330834389,0.061456162482500076,0.0,1.0,VanderPol,published,,,,
VanderPol_retrained_base_H336,336,retrained_base,published,0.07691595330834389,0.061456162482500076,-0.16202622279524803,0.9999761581420898,VanderPol,retrained_base,0.23894217610359192,0.1569811850786209,,
VanderPol_koopman_ablation_H336,336,koopman_ablation,published,0.07691595330834389,0.061456162482500076,-0.12157249823212624,0.9997587203979492,VanderPol,koopman_ablation,,,0.19848845154047012,0.047955114394426346
Duffing_published_H96,96,published,published,0.3944593369960785,0.33381421118974686,0.0,1.0,Duffing,published,,,,
Duffing_retrained_base_H96,96,retrained_base,published,0.3944593369960785,0.33381421118974686,-0.39351925253868103,0.9993953704833984,Duffing,retrained_base,0.7879785895347595,0.4759466126561165,,
Duffing_koopman_ablation_H96,96,koopman_ablation,published,0.3944593369960785,0.33381421118974686,-0.36658525466918945,0.9995746612548828,Duffing,koopman_ablation,,,0.7610445916652679,0.4012950360774994
Duffing_published_H192,192,published,published,0.7465871870517731,0.3824428543448448,0.0,1.0,Duffing,published,,,,
Duffing_retrained_base_H192,192,retrained_base,published,0.7465871870517731,0.3824428543448448,-0.2996658980846405,1.0,Duffing,retrained_base,1.0462530851364136,0.32543250918388367,,
Duffing_koopman_ablation_H192,192,koopman_ablation,published,0.7465871870517731,0.3824428543448448,-0.17048552632331848,0.9993953704833984,Duffing,koopman_ablation,,,0.9170727133750916,0.7030804008245468
Duffing_published_H336,336,published,published,0.8864637613296509,0.18549981713294983,0.0,1.0,Duffing,published,,,,
Duffing_retrained_base_H336,336,retrained_base,published,0.8864637613296509,0.18549981713294983,-0.10989081859588623,0.9939603805541992,Duffing,retrained_base,0.9963545799255371,0.2271857112646103,,
Duffing_koopman_ablation_H336,336,koopman_ablation,published,0.8864637613296509,0.18549981713294983,-0.10170495510101318,0.9914093017578125,Duffing,koopman_ablation,,,0.9881687164306641,0.24683991074562073
