label,horizon,baseline_mae,dataset,method
Weather_H96_seasonal_naive,96,0.718788206577301,Weather,seasonal_naive
Weather_H96_linear_trend,96,0.9892178472192803,Weather,linear_trend
Weather_H192_seasonal_naive,192,0.7473644018173218,Weather,seasonal_naive
Weather_H192_linear_trend,192,1.043347733553778,Weather,linear_trend
Weather_H336_seasonal_naive,336,0.846505343914032,Weather,seasonal_naive
Weather_H336_linear_trend,336,1.094884642680618,Weather,linear_trend
ETTh1_H96_seasonal_naive,96,0.7142494022846222,ETTh1,seasonal_naive
ETTh1_H96_linear_trend,96,0.8671022722207279,ETTh1,linear_trend
ETTh1_H192_seasonal_naive,192,0.7903885245323181,ETTh1,seasonal_naive
ETTh1_H192_linear_trend,192,1.0186906182674706,ETTh1,linear_trend
ETTh1_H336_seasonal_naive,336,0.8721123933792114,ETTh1,seasonal_naive
ETTh1_H336_linear_trend,336,0.9653733699620101,ETTh1,linear_trend
ETTh2_H96_seasonal_naive,96,0.7481772005558014,ETTh2,seasonal_naive
ETTh2_H96_linear_trend,96,0.94744326332289,ETTh2,linear_trend
ETTh2_H192_seasonal_naive,192,0.9842811524868011,ETTh2,seasonal_naive
ETTh2_H192_linear_trend,192,1.004475787689644,ETTh2,linear_trend
ETTh2_H336_seasonal_naive,336,0.9727440178394318,ETTh2,seasonal_naive
ETTh2_H336_linear_trend,336,1.2357191070175508,ETTh2,linear_trend
