label,horizon,dataset,condition,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p
Weather_vanilla_H96,96,Weather,vanilla,0.6128120124340057,0.2427659034729004,0.7720138430595398,0.06614761054515839,0.15920183062553406,0.0078125
Weather_improved_proj_H96,96,Weather,improved_proj,1.0847984938607853,0.21520937883263302,1.0468400550409185,0.12897116646812024,-0.037958438819866824,1.0
Weather_vanilla_H336,336,Weather,vanilla,0.8754464685916901,0.2712475061416626,0.9973596632480621,0.2830434888601303,0.12191319465637207,0.0078125
Weather_improved_proj_H336,336,Weather,improved_proj,1.2408441023828867,0.3516667800179234,1.2707260479825826,0.3479201186184957,0.029881945599695925,0.01171875
ETTh1_vanilla_H96,96,ETTh1,vanilla,0.7082855105400085,0.19373616576194763,0.7700361907482147,0.1386307328939438,0.06175068020820618,0.0390625
ETTh1_improved_proj_H96,96,ETTh1,improved_proj,0.6937855637072018,0.2407694933580271,0.7488992747487648,0.2777804446968557,0.05511371104156304,0.19140625
ETTh1_vanilla_H336,336,ETTh1,vanilla,0.8428743779659271,0.4968021512031555,0.9434119462966919,0.3992535024881363,0.10053756833076477,0.125
ETTh1_improved_proj_H336,336,ETTh1,improved_proj,0.8304971837852502,0.6071233146640571,0.7922665504180437,0.6226092725453063,-0.038230633367206446,0.3203125
ETTh2_vanilla_H96,96,ETTh2,vanilla,0.9355667531490326,0.4544849693775177,0.9340693652629852,0.4384743273258209,-0.0014973878860473633,0.37109375
ETTh2_improved_proj_H96,96,ETTh2,improved_proj,0.8503882553332704,0.4594337041270896,0.7957482470090204,0.41585076896216233,-0.05464000832425009,0.875
ETTh2_vanilla_H336,336,ETTh2,vanilla,1.2494169473648071,0.5162014365196228,1.1823511123657227,0.7885729223489761,-0.06706583499908447,0.37109375
ETTh2_improved_proj_H336,336,ETTh2,improved_proj,1.2788134306489767,0.5434877357225363,1.1362278659055405,0.7120212496829159,-0.1425855647434362,0.9609375
