tau,n_features,n_unique,top1,top2,own_floor,top1_over_floor,top1_over_top2,factor,channel
20,186,1500,1.2569932788610458,0.9661041796207428,0.5241967558860778,2.397941736087784,1.3010949599188106,2,p (mbar)
44,340,1500,0.9205668568611145,0.814300000667572,0.6000329703092575,1.534193790028994,1.1305008671330268,2,T (degC)
55,290,1500,0.7843273282051086,0.727121114730835,0.5319647848606109,1.474397085157852,1.0786749446761015,2,Tpot (K)
62,234,1500,0.8656020760536194,0.7812446355819702,0.5175664842128753,1.6724461541787101,1.1079782652316186,2,Tdew (degC)
33,648,1500,0.9992144107818604,0.9066086411476135,0.501928561925888,1.9907502512865545,1.1021452536753054,2,rh (%)
52,315,1500,0.761101484298706,0.5759102702140808,0.6085690975189209,1.2506410322207377,1.3215626177595077,2,VPmax (mbar)
20,381,1500,0.7440828084945679,0.49792516231536865,0.5997899889945983,1.2405722371956245,1.4943667539004415,2,VPact (mbar)
31,617,1500,1.1402392387390137,1.1093745231628418,0.6717136740684508,1.6975078560375083,1.0278217274074188,2,VPdef (mbar)
20,357,1500,0.6748770475387573,0.47667014598846436,0.5925669461488723,1.1389043076479768,1.4158156394277095,2,sh (g/kg)
20,364,1500,0.672393262386322,0.4859849214553833,0.5802963316440582,1.158706725719497,1.3835681575730787,2,H2OC (mmol/mol)
56,194,1500,1.0096048712730408,0.7424571514129639,0.4945479691028595,2.0414700582119996,1.3598156733377413,2,rho (g/m**3)
45,1180,1500,0.7042464017868042,0.5880930423736572,0.6975936114788055,1.0095367706907403,1.1975084740746627,2,wv (m/s)
45,1190,1500,0.4586343765258789,0.4154233932495117,0.6775776028633118,0.6768735781521981,1.1040167308305957,2,max. wv (m/s)
63,1035,1500,0.5890886783599854,0.5662734508514404,0.8140005886554716,0.7236956417107937,1.0402901239220033,2,wd (deg)
22,12,61,0.6740514039993286,0.6740514039993286,0.8276120364665982,0.8144533601482158,1.0,2,rain (mm)
21,21,245,2.39151668548584,1.9371049404144287,2.460316681861877,0.9720361216573259,1.2345829260928907,2,raining (s)
15,314,1500,0.48661696910858154,0.44200071692466736,0.9716501891613006,0.5008149790292479,1.1009415832950298,2,SWDR (W/m�)
15,334,1497,0.41858312487602234,0.3983026146888733,0.8831120669841765,0.4739864174945335,1.0509173413360362,2,PAR (�mol/m�/s)
15,327,1497,0.39270442724227905,0.35883456468582153,0.8814935803413388,0.44549890776313195,1.0943885174108363,2,max. PAR (�mol/m�/s)
34,403,1500,0.7573710083961487,0.6319196224212646,0.6180168509483336,1.225486015848887,1.1985242767018442,2,Tlog (degC)
56,628,1500,0.7363969683647156,0.5784109234809875,0.6954426288604736,1.0588896018228682,1.2731380727268042,2,OT
58,118,1500,1.2387731075286865,0.95135498046875,0.539920836687088,2.294360623549373,1.3021144924456278,3,p (mbar)
33,492,1500,0.8261891007423401,0.5601981282234192,0.5763115763664245,1.4335806092103225,1.4748158894469527,3,T (degC)
38,430,1500,0.6754170656204224,0.5662232041358948,0.6237845301628111,1.082773029725721,1.192845967256264,3,Tpot (K)
62,370,1500,0.8298565149307251,0.7416802644729614,0.6768529325723648,1.2260514433717138,1.1188871467685901,3,Tdew (degC)
25,836,1500,0.523611307144165,0.5177004933357239,0.5540812730789184,0.9450081289240514,1.0114174390106445,3,rh (%)
37,482,1500,0.5149844288825989,0.46036481857299805,0.6263527154922485,0.8221955715125692,1.1186441884914367,3,VPmax (mbar)
71,361,1500,0.7996357679367065,0.6666983366012573,0.6486687421798705,1.2327336218629974,1.1993966746837066,3,VPact (mbar)
33,725,1500,0.4718306064605713,0.4175646901130676,0.7894323050975799,0.5976834282228283,1.1299581062105841,3,VPdef (mbar)
70,357,1500,0.9260441064834595,0.829432487487793,0.5639969944953919,1.6419309243163454,1.1164791836021355,3,sh (g/kg)
71,357,1500,0.8935514688491821,0.6706769466400146,0.5535207480192185,1.6143052849360537,1.332312782369714,3,H2OC (mmol/mol)
40,345,1500,0.565959095954895,0.5638944506645203,0.5477181017398833,1.0333036176037769,1.0036614038104856,3,rho (g/m**3)
1,1110,1500,0.004750162363052368,0.003651730716228485,0.008816695865243673,0.5387689941509721,1.3007975483905192,3,wv (m/s)
37,1182,1500,0.5694534778594971,0.4992053508758545,0.6359149217605591,0.8954868935657926,1.1407198998576287,3,max. wv (m/s)
33,1089,1500,0.4854956865310669,0.4602794647216797,1.0012026190757748,0.4849125214826498,1.054784590106871,3,wd (deg)
15,19,76,0.8714385032653809,0.6631698608398438,1.2235797166824334,0.7122041101074849,1.3140502226108164,3,rain (mm)
15,27,273,2.8342134952545166,1.6000242233276367,2.2455395221710206,1.2621525772631947,1.7713566169392643,3,raining (s)
11,337,1498,0.7799924612045288,0.7784665822982788,0.673002815246582,1.158973548897781,1.0019601084246226,3,SWDR (W/m�)
10,355,1500,0.5250324010848999,0.4807335138320923,0.7645338237285614,0.686735347462281,1.0921485313135044,3,PAR (�mol/m�/s)
11,340,1495,0.693233847618103,0.4715176224708557,0.9768900573253628,0.7096334356356487,1.4702183218209441,3,max. PAR (�mol/m�/s)
30,572,1500,0.6679269075393677,0.6031047105789185,0.5630488574504853,1.186268116347444,1.1074808334662591,3,Tlog (degC)
13,838,1500,0.014479121193289757,0.012895731255412102,6.836980628967285,0.0021177654258582863,1.1227840365557507,3,OT
63,225,1500,1.2953327298164368,1.252177357673645,0.5473657548427582,2.366484783448952,1.0344642648889355,6,p (mbar)
14,874,1500,0.6041897535324097,0.5326912999153137,0.6349808871746063,0.9515085662196794,1.1342211776848292,6,T (degC)
14,820,1500,0.5190773606300354,0.5036585927009583,0.5684502810239791,0.9131446987676641,1.0306135309761941,6,Tpot (K)
